month,avg_kWh_south,max_kWh_south,avg_kW_south,max_kW_south
2025-01,7150.550009677419,11470.4877,66.20879633736558,722.6434
2025-02,13487.860125000001,24209.4373,124.88759382440477,1177.9154
2025-03,23452.18403548387,34290.2963,217.14985221774194,1458.0562
2025-04,34423.959096666666,44083.7151,318.74036197916666,1626.7641
2025-05,42047.68636129032,53325.0224,389.3304292674731,1846.8372
2025-06,47627.396856666666,57004.03,440.9944153819444,1837.8752
2025-07,43893.23957419355,51744.5785,406.4188849462365,1729.4107
2025-08,40491.70941612903,51035.5898,374.9232353158602,1810.4894
2025-09,29171.246376666666,41332.9131,270.1041332291667,1671.5448
2025-10,20231.224129032256,29395.598,187.3261493951613,1369.8995
2025-11,9418.785960000001,17443.5509,87.21098121527778,976.4784
2025-12,6469.171119354839,9498.6901,59.919866957983196,636.1077
